title,doi,href,authors,journal,volume_issue,date,access,source_file
Li3PO4-Enriched SEI on Graphite Anode Boosts Li+De-Solvation Enabling Fast-Charging and Low-Temperature Lithium-Ion Batteries,10.1002/anie.202402301,/doi/10.1002/anie.202402301,"Chaonan Wang, ,, Yuansen Xie, ,, Yingshan Huang, ,, Shaoyun Zhou, ,, Huanyu Xie, ,, Hongchang Jin, ,, Hengxing Ji, ,",Angewandte Chemie International Edition,"Volume 63, Issue 21",First published: 14 March 2024,Full Access,page_001.html
Prelithiation Strategy for Silicon/Carbon Anodes Using AMPS-Mediated SEI Stabilization,10.1002/adsu.202500264,/doi/10.1002/adsu.202500264,"Bo Peng, ,, Hao Shen, ,, Weizhai Bao, ,, Furong Qin, ,, Jin Xiao, ,",Advanced Sustainable Systems,"Volume 9, Issue 8",First published: 08 May 2025,Full Access,page_001.html
Rechargeable Intermetallic Calcium–Lithium–O2Batteries,10.1002/cssc.201902925,/doi/10.1002/cssc.201902925,"Mi-Jin Kim, ,, Hui-Ju Kang, ,, Won Bin Im, ,, Young-Si Jun, ,",ChemSusChem,"Volume 13, Issue 3",First published: 28 November 2019,Full Access,page_001.html
High-Energy Aqueous Sodium-Ion Batteries,10.1002/anie.202017167,/doi/10.1002/anie.202017167,"Ting Jin, ,, Xiao Ji, ,, Peng-Fei Wang, ,, Kunjie Zhu, ,, Jiaxun Zhang, ,, Longsheng Cao, ,, Long Chen, ,, Chunyu Cui, ,, Tao Deng, ,, Sufu Liu, ,, Nan Piao, ,, Yongchang Liu, ,, Chao Shen, ,, Keyu Xie, ,, Lifang Jiao, ,, Chunsheng Wang, ,",Angewandte Chemie International Edition,"Volume 60, Issue 21",First published: 10 March 2021,Full Access,page_001.html
Boron-Based Functional Additives Enable Solid Electrolyte Interphase Engineering in Calcium Metal Battery,10.1002/batt.202200433,/doi/10.1002/batt.202200433,"Charlotte Bodin, ,, Juan Forero Saboya, ,, Piotr Jankowski, ,, Kristian Radan, ,, Dominique Foix, ,, Cécile Courrèges, ,, Ibraheem Yousef, ,, Rémi Dedryvère, ,, Carine Davoisne, ,, Matic Lozinšek, ,, Alexandre Ponrouch, ,",Batteries & Supercaps,"Volume 6, Issue 1",First published: 13 October 2022,Open Access,page_001.html
40 Years of Low-Temperature Electrolytes for Rechargeable Lithium Batteries,10.1002/anie.202303888,/doi/10.1002/anie.202303888,"Zeheng Li, ,, Yu-Xing Yao, ,, Shuo Sun, ,, Cheng-Bin Jin, ,, Nan Yao, ,, Chong Yan, ,, Qiang Zhang, ,",Angewandte Chemie International Edition,"Volume 62, Issue 37",First published: 15 May 2023,Full Access,page_001.html
In Situ Solid Conversion into Mechanically Adaptive LiF-Rich Solid Electrolyte Interphase via MgF2Precursor on Si Surface in Lithium-Ion Batteries,10.1002/anie.202507688,/doi/10.1002/anie.202507688,"Jiayang Sun, ,, Linze Lv, ,, Yuchen Li, ,, Yan Wang, ,, Longfei Wang, ,, Weixing Xiong, ,, Lei Huang, ,, Qunting Qu, ,, Honghe Zheng, ,",Angewandte Chemie International Edition,"Volume 64, Issue 30",First published: 23 May 2025,Full Access,page_001.html
A Robust Dual-Layered Solid Electrolyte Interphase Enabled by Cation Specific Adsorption-Induced Built-In Electrostatic Field for Long-Cycling Solid-State Lithium Metal Batteries,10.1002/anie.202421101,/doi/10.1002/anie.202421101,"Xi-Long Wang, ,, Yuan Li, ,, Jia Liu, ,, Shi-Jie Yang, ,, Jiang-Kui Hu, ,, Wei-Qi Mai, ,, Rui Wen, ,, Hong Yuan, ,, Jia-Qi Huang, ,",Angewandte Chemie International Edition,"Volume 64, Issue 10",First published: 19 January 2025,Full Access,page_001.html
Deep Eutectic Solvent-Based Gel Electrolyte with Fast Na Ions Transport in Sodium-Metal Batteries,10.1002/cssc.202500417,/doi/10.1002/cssc.202500417,"Yangze Huang, ,, Guanglei Qiu, ,, Zhixin Tai, ,, Yajie Liu, ,",ChemSusChem,"Volume 18, Issue 14",First published: 06 May 2025,Full Access,page_001.html
Analysis of the Solid Electrolyte Interphase on Hard Carbon Electrodes in Sodium-Ion Batteries,10.1002/celc.201801621,/doi/10.1002/celc.201801621,"Marco Carboni, ,, Jessica Manzi, ,, Antony Robert Armstrong, ,, Juliette Billaud, ,, Sergio Brutti, ,, Reza Younesi, ,",ChemElectroChem,"Volume 6, Issue 6",First published: 07 January 2019,Full Access,page_001.html
Visualizing and Regulating Dynamic Evolution of Interfacial Electrolyte Configuration during De-solvation Process on Lithium-Metal Anode,10.1002/anie.202400254,/doi/10.1002/anie.202400254,"Junhao Wang, ,, Jing Luo, ,, Haichuan Wu, ,, Xiaoyu Yu, ,, Xiaohong Wu, ,, Zhengang Li, ,, Haiyan Luo, ,, Haitang Zhang, ,, Yuhao Hong, ,, Yeguo Zou, ,, Shuohui Cao, ,, Yu Qiao, ,, Shi-Gang Sun, ,",Angewandte Chemie International Edition,"Volume 63, Issue 17",First published: 05 March 2024,Full Access,page_001.html
Correlation between Electrolyte Chemistry and Solid Electrolyte Interphase for Reversible Ca Metal Anodes,10.1002/anie.202214796,/doi/10.1002/anie.202214796,"Zhen Hou, ,, Rui Zhou, ,, Yunduo Yao, ,, Zhiwen Min, ,, Ziheng Lu, ,, Ye Zhu, ,, Jean-Marie Tarascon, ,, Biao Zhang, ,",Angewandte Chemie International Edition,"Volume 61, Issue 50",First published: 19 October 2022,Full Access,page_001.html
The Crucial Role of Electrode Potential of a Working Anode in Dictating the Structural Evolution of Solid Electrolyte Interphase,10.1002/anie.202208743,/doi/10.1002/anie.202208743,"Shu-Yu Sun, ,, Nao Yao, ,, Cheng-Bin Jin, ,, Jin Xie, ,, Xi-Yao Li, ,, Ming-Yue Zhou, ,, Xiang Chen, ,, Bo-Quan Li, ,, Xue-Qiang Zhang, ,, Qiang Zhang, ,",Angewandte Chemie International Edition,"Volume 61, Issue 42",First published: 12 August 2022,Full Access,page_001.html
Comparative Study of Conventional Electrolytes for Rechargeable Magnesium Batteries,10.1002/batt.202200011,/doi/10.1002/batt.202200011,"Raymond Horia, ,, Dan-Thien Nguyen, ,, Alex Yong Sheng Eng, ,, Zhi Wei Seh, ,",Batteries & Supercaps,"Volume 5, Issue 6",First published: 23 February 2022,Full Access,page_001.html
Tuning Reaction Kinetics of Fluorinated Molecules to Construct Robust Solid Electrolyte Interphases on SiOxAnode,10.1002/anie.202413927,/doi/10.1002/anie.202413927,"Shiming Chen, ,, Zhikang Deng, ,, Jiangxiao Li, ,, Wenguang Zhao, ,, Bowen Nan, ,, Yue Zuo, ,, Jianjun Fang, ,, Yuxiang Huang, ,, Zu-Wei Yin, ,, Feng Pan, ,, Luyi Yang, ,",Angewandte Chemie International Edition,"Volume 64, Issue 1",First published: 20 September 2024,Full Access,page_002.html
A Combined XPS and Computational Study of the Chemical Reduction of BMP-TFSI by Lithium,10.1002/batt.202200307,/doi/10.1002/batt.202200307,"K. Forster-Tonigold, ,, F. Buchner, ,, J. Bansmann, ,, R. J. Behm, ,, A. Groß, ,",Batteries & Supercaps,"Volume 5, Issue 12",First published: 05 September 2022,Open Access,page_002.html
A Universal Design of Lithium Anode via Dynamic Stability Strategy for Practical All-Solid-State Batteries,10.1002/anie.202418811,/doi/10.1002/anie.202418811,"Tao Deng, ,, Changhong Wang, ,, Hongli Wan, ,, Ai-Min Li, ,, Xinzi He, ,, Zeyi Wang, ,, Longsheng Cao, ,, Xiulin Fan, ,, Chunsheng Wang, ,",Angewandte Chemie International Edition,"Volume 64, Issue 7",First published: 23 December 2024,Full Access,page_002.html
Anion-Derived Solid Electrolyte Interphase Enabled by Diluent Modulated Dimethyl Carbonate-Based Localized High Concentration Electrolytes for Lithium Metal Batteries,10.1002/batt.202400238,/doi/10.1002/batt.202400238,"Hanlu Zheng, ,, Yu Zhong, ,, Changdong Gu, ,, Xiuli Wang, ,, Jiangping Tu, ,",Batteries & Supercaps,"Volume 7, Issue 11",First published: 22 April 2024,Full Access,page_002.html
Differentiating and Quantifying Dead Lithium.,10.1002/celc.201901603,/doi/10.1002/celc.201901603,"Fu Sun, ,, Ingo Manke, ,",ChemElectroChem,"Volume 6, Issue 23",First published: 24 October 2019,Full Access,page_002.html
A Fluorine-Free Organic/Inorganic Interphase for Highly Reversible Aqueous Zinc Batteries,10.1002/anie.202504003,/doi/10.1002/anie.202504003,"Xingfu Yang, ,, Xiaoning Tang, ,, Jie Lei, ,, Xu Zeng, ,, Jie Wen, ,, Anni Liu, ,, Shu Xia, ,, Qiuyang Luo, ,, Junnan Liu, ,, An Xue, ,, Daliang Han, ,, Guangmin Zhou, ,",Angewandte Chemie International Edition,"Volume 64, Issue 26",First published: 22 April 2025,Full Access,page_002.html
Recent Progress on Multifunctional Electrolyte Additives for High-Energy-Density Li Batteries – A Review,10.1002/celc.202300702,/doi/10.1002/celc.202300702,"Yue Lei, ,, Kaifeng Wang, ,, Sen Jiang, ,, Xin Xu, ,, Junzi Zheng, ,, Junying Yin, ,, Yunfang Gao, ,",ChemElectroChem,"Volume 11, Issue 14",First published: 15 April 2024,Open Access,page_002.html
Unraveling the Solvent Effect on Solid-Electrolyte Interphase Formation for Sodium Metal Batteries,10.1002/anie.202313447,/doi/10.1002/anie.202313447,"Shiyang Wang, ,, Suting Weng, ,, Xinpeng Li, ,, Yue Liu, ,, Xiangling Huang, ,, Yulin Jie, ,, Yuxue Pan, ,, Hongmin Zhou, ,, Shuhong Jiao, ,, Qi Li, ,, Xuefeng Wang, ,, Tao Cheng, ,, Ruiguo Cao, ,, Dongsheng Xu, ,",Angewandte Chemie International Edition,"Volume 62, Issue 50",First published: 26 October 2023,Full Access,page_002.html
The Raw Mixed Conducting Interphase Affords Effective Prelithiation in Working Batteries,10.1002/anie.202205697,/doi/10.1002/anie.202205697,"Xin-Yang Yue, ,, Yu-Xing Yao, ,, Jing Zhang, ,, Zeheng Li, ,, Si-Yu Yang, ,, Xun-Lu Li, ,, Chong Yan, ,, Qiang Zhang, ,",Angewandte Chemie International Edition,"Volume 61, Issue 29",First published: 09 May 2022,Full Access,page_002.html
Frontispiece: Low-Temperature Electrolyte Design for Lithium-Ion Batteries: Prospect and Challenges,10.1002/chem.202186461,/doi/10.1002/chem.202186461,"Qian Li, ,, Gang Liu, ,, Haoran Cheng, ,, Qujiang Sun, ,, Junli Zhang, ,, Jun Ming, ,",Chemistry – A European Journal,"Volume 27, Issue 64",First published: 17 November 2021,Free Access,page_002.html
Identifying the Critical Anion–Cation Coordination to Regulate the Electric Double Layer for an Efficient Lithium-Metal Anode Interface,10.1002/anie.202013271,/doi/10.1002/anie.202013271,"Rui Xu, ,, Xin Shen, ,, Xia-Xia Ma, ,, Chong Yan, ,, Xue-Qiang Zhang, ,, Xiang Chen, ,, Jun-Fan Ding, ,, Jia-Qi Huang, ,",Angewandte Chemie International Edition,"Volume 60, Issue 8",First published: 15 December 2020,Full Access,page_002.html
Quantification of the Dynamic Interface Evolution in High-Efficiency Working Li-Metal Batteries,10.1002/anie.202115602,/doi/10.1002/anie.202115602,"Jun-Fan Ding, ,, Rui Xu, ,, Xia-Xia Ma, ,, Ye Xiao, ,, Yu-Xing Yao, ,, Chong Yan, ,, Jia-Qi Huang, ,",Angewandte Chemie International Edition,"Volume 61, Issue 13",First published: 23 December 2021,Full Access,page_002.html
Reactive Interactions between the Ionic Liquid BMP-TFSI and a Na Surface,10.1002/batt.202300336,/doi/10.1002/batt.202300336,"Katrin Forster-Tonigold, ,, Florian Buchner, ,, Axel Groß, ,, R. Jürgen Behm, ,",Batteries & Supercaps,"Volume 6, Issue 12",First published: 02 October 2023,Open Access,page_002.html
Improved Compatibility of α-NaMnO2Cathodes at the Interface with Ionic Liquid Electrolytes,10.1002/cssc.202400514,/doi/10.1002/cssc.202400514,"Giovanna Maresca, ,, Michela Ottaviani, ,, Kevin M. Ryan, ,, Sergio Brutti, ,, Giovanni B. Appetecchi, ,",ChemSusChem,"Volume 17, Issue 21",First published: 16 May 2024,Full Access,page_002.html
Inhibiting Interfacial Electron Leakage via An Artificial Rectified Layer for Longevous Zinc Metal Anodes,10.1002/anie.202423244,/doi/10.1002/anie.202423244,"Guang-Yuan Yin, ,, Hong-Rui Wang, ,, Min-Yang Zhou, ,, Tao Long, ,, Meng-Sha Ding, ,, Bin Xie, ,, Xiong-Wei Wu, ,, Jiabao Li, ,, Wei Ling, ,, Jiayu Dai, ,, Xian-Xiang Zeng, ,",Angewandte Chemie International Edition,"Volume 64, Issue 15",First published: 30 January 2025,Full Access,page_002.html
Robust Solid Electrolyte Interphase Engineered by Catalysis Chemistry Toward Durable Anode-Free Sodium Metal Batteries,10.1002/anie.202503691,/doi/10.1002/anie.202503691,"Chongyang Hao, ,, Xiaomin Zhang, ,, Zixu He, ,, Mingxia Gao, ,, Yongfeng Liu, ,, Hongge Pan, ,, Wenping Sun, ,",Angewandte Chemie International Edition,"Volume 64, Issue 23",First published: 27 March 2025,Full Access,page_002.html
Optimizing Li-ion Solvation in Gel Polymer Electrolytes to Stabilize Li-Metal Anode,10.1002/cssc.202300671,/doi/10.1002/cssc.202300671,"Kangsheng Huang, ,, Sheng Bi, ,, Hai Xu, ,, Langyuan Wu, ,, Chang Fang, ,, Xiaogang Zhang, ,",ChemSusChem,"Volume 16, Issue 19",First published: 17 June 2023,Full Access,page_002.html
Catalytic Chemistry Derived Artificial Solid Electrolyte Interphase for Stable Lithium Metal Anodes Working at 20 mA cm−2and 20 mAh cm−2,10.1002/anie.202305723,/doi/10.1002/anie.202305723,"Yifeng Cheng, ,, Zhijie Wang, ,, Jinbiao Chen, ,, Yuanmao Chen, ,, Xi Ke, ,, Duojie Wu, ,, Qing Zhang, ,, Yuanmin Zhu, ,, Xuming Yang, ,, Meng Gu, ,, Zaiping Guo, ,, Zhicong Shi, ,",Angewandte Chemie International Edition,"Volume 62, Issue 30",First published: 07 June 2023,Open Access,page_002.html
Reforming the Uniformity of Solid Electrolyte Interphase by Nanoscale Structure Regulation for Stable Lithium Metal Batteries,10.1002/anie.202306889,/doi/10.1002/anie.202306889,"Qian-Kui Zhang, ,, Shu-Yu Sun, ,, Ming-Yue Zhou, ,, Li-Peng Hou, ,, Jia-Lin Liang, ,, Shi-Jie Yang, ,, Bo-Quan Li, ,, Xue-Qiang Zhang, ,, Jia-Qi Huang, ,",Angewandte Chemie International Edition,"Volume 62, Issue 42",First published: 13 July 2023,Full Access,page_002.html
Monolithic Phosphate Interphase for Highly Reversible and Stable Zn Metal Anode,10.1002/anie.202215600,/doi/10.1002/anie.202215600,"Sailin Liu, ,, Jitraporn (Pimm) Vongsvivut, ,, Yanyan Wang, ,, Ruizhi Zhang, ,, Fuhua Yang, ,, Shilin Zhang, ,, Kenneth Davey, ,, Jianfeng Mao, ,, Zaiping Guo, ,",Angewandte Chemie International Edition,"Volume 62, Issue 4",First published: 29 November 2022,Open Access,page_002.html
Mitigating Swelling of the Solid Electrolyte Interphase using an Inorganic Anion Switch for Low-temperature Lithium-ion Batteries,10.1002/anie.202300384,/doi/10.1002/anie.202300384,"Jia-Yan Liang, ,, Yanyan Zhang, ,, Sen Xin, ,, Shuang-Jie Tan, ,, Xin-Hai Meng, ,, Wen-Peng Wang, ,, Ji-Lei Shi, ,, Zhen-Bo Wang, ,, Fuyi Wang, ,, Li-Jun Wan, ,, Yu-Guo Guo, ,",Angewandte Chemie International Edition,"Volume 62, Issue 16",First published: 25 February 2023,Full Access,page_003.html
Monofluorinated Phosphate with Unique P−F Bond for Nonflammable and Long-Life Lithium-Ion Batteries,10.1002/anie.202412108,/doi/10.1002/anie.202412108,"Yuankun Wang, ,, Yintong Zhao, ,, Shu Zhang, ,, Long Shang, ,, Youxuan Ni, ,, Yong Lu, ,, Yixin Li, ,, Zhenhua Yan, ,, Zhiwei Miao, ,, Jun Chen, ,",Angewandte Chemie International Edition,"Volume 63, Issue 52",First published: 09 October 2024,Full Access,page_003.html
Endogenous Symbiotic Li3N/Cellulose Skin to Extend the Cycle Life of Lithium Anode,10.1002/anie.202017281,/doi/10.1002/anie.202017281,"Yang Luo, ,, Tianyu Li, ,, Hongzhang Zhang, ,, Wei Liu, ,, Xiaoben Zhang, ,, Jingwang Yan, ,, Huamin Zhang, ,, Xianfeng Li, ,",Angewandte Chemie International Edition,"Volume 60, Issue 21",First published: 10 March 2021,Full Access,page_003.html
Assessing the Reactivity of Hard Carbon Anodes: Linking Material Properties with Electrochemical Response Upon Sodium- and Lithium-Ion Storage,10.1002/batt.202000322,/doi/10.1002/batt.202000322,"Hyein Moon, ,, Maider Zarrabeitia, ,, Erik Frank, ,, Olaf Böse, ,, Marina Enterría, ,, Damien Saurel, ,, Ivana Hasa, ,, Stefano Passerini, ,",Batteries & Supercaps,"Volume 4, Issue 6",First published: 01 March 2021,Open Access,page_003.html
