title,doi,href,authors,journal,volume_issue,date,access,source_file
Transforming Zinc-Ion Batteries with DTPA-Na: A Synergistic SEI and CEI Engineering Approach for Exceptional Cycling Stability and Self-Discharge Inhibition,10.1002/ange.202409642,/doi/10.1002/ange.202409642,"Yongfeng Huang, ,, Hao Yan, ,, Wenbao Liu, ,, Feiyu Kang, ,",Angewandte Chemie,"Volume 136, Issue 48",First published: 22 July 2024,Full Access,page_000.html
Low-Temperature Electrolyte Design for Lithium-Ion Batteries: Prospect and Challenges,10.1002/chem.202101407,/doi/10.1002/chem.202101407,"Qian Li, ,, Gang Liu, ,, Haoran Cheng, ,, Qujiang Sun, ,, Junli Zhang, ,, Jun Ming, ,",Chemistry – A European Journal,"Volume 27, Issue 64",First published: 24 September 2021,Full Access,page_000.html
Enhancing Zn Deposition Reversibility on MXene Current Collectors by Forming ZnF2-Containing Solid-Electrolyte Interphase for Anode-Free Zinc Metal Batteries,10.1002/smll.202407226,/doi/10.1002/smll.202407226,"Chaofan Chen, ,, Rui Guo, ,, Swapna Ganapathy, ,, Baukje Terpstra, ,, Hao Wang, ,, Zhibin Lei, ,, Frans Ooms, ,, Bart Boshuizen, ,, Marnix Wagemaker, ,, Lars J. Bannenberg, ,, Xuehang Wang, ,",Small,Early View,First published: 28 January 2025,Open Access,page_000.html
Constructing Highly Li+Conductive Electrode Electrolyte Interphases for 4.6 V Li||LiCoO2Batteries via Electrolyte Additive Engineering,10.1002/smtd.202300079,/doi/10.1002/smtd.202300079,"Girum Girma Bizuneh, ,, Chunlei Zhu, ,, Junda Huang, ,, Huaping Wang, ,, Shihan Qi, ,, Zhongsheng Wang, ,, Daxiong Wu, ,, Jianmin Ma, ,",Small Methods,"Volume 7, Issue 9",First published: 31 May 2023,Full Access,page_000.html
Solid Electrolyte Interphase Engineering by Designing Cobalt-Doped Ni3S2-NF Anode for Sodium Metal Anode,10.1002/cctc.202402160,/doi/10.1002/cctc.202402160,"Chaohong Shi, ,, Xiang Zheng, ,, Zhiqian Li, ,, Qi Fang, ,, Jing Tang, ,",ChemCatChem,"Volume 17, Issue 9",First published: 22 February 2025,Full Access,page_000.html
Hexafluoroisopropyl Trifluoromethanesulfonate-Driven Easily Li+Desolvated Electrolyte to Afford Li||NCM811 Cells with Efficient Anode/Cathode Electrolyte Interphases,10.1002/adfm.202104395,/doi/10.1002/adfm.202104395,"Xin Li, ,, Jiandong Liu, ,, Jian He, ,, Huaping Wang, ,, Shihan Qi, ,, Daxiong Wu, ,, Junda Huang, ,, Fang Li, ,, Wei Hu, ,, Jianmin Ma, ,",Advanced Functional Materials,"Volume 31, Issue 37",First published: 26 June 2021,Full Access,page_000.html
"Amide-Functional, Li3N/LiF-Rich Heterostructured Electrode Electrolyte Interphases for 4.6 V Li||LiCoO2Batteries",10.1002/aenm.202300084,/doi/10.1002/aenm.202300084,"Jiandong Liu, ,, Mingguang Wu, ,, Xin Li, ,, Daxiong Wu, ,, Huaping Wang, ,, Junda Huang, ,, Jianmin Ma, ,",Advanced Energy Materials,"Volume 13, Issue 15",First published: 04 March 2023,Full Access,page_000.html
Isocyanurate-Derivative Enables Highly Compatible Poly-Dioxane Electrolyte for Dendrite-Free Li Metal Batteries,10.1002/adfm.202414430,/doi/10.1002/adfm.202414430,"Peng Wang, ,, Yaru Liu, ,, Jie Cui, ,, Long Zhao, ,, Dong Li, ,, Yunfei Du, ,, Hao Li, ,",Advanced Functional Materials,"Volume 35, Issue 5",First published: 30 September 2024,Full Access,page_000.html
Fundamentals and Challenges of Lithium Ion Batteries at Temperatures between −40 and 60 °C,10.1002/aenm.201904152,/doi/10.1002/aenm.201904152,"Junbo Hou, ,, Min Yang, ,, Deyu Wang, ,, Junliang Zhang, ,",Advanced Energy Materials,"Volume 10, Issue 18",First published: 28 February 2020,Full Access,page_000.html
Elucidating the Step-Wise Solid Electrolyte Interphase Formation in Lithium-Ion Batteries with Operando Raman Spectroscopy,10.1002/admi.202200945,/doi/10.1002/admi.202200945,"Neeha Gogoi, ,, Tim Melin, ,, Erik J. Berg, ,",Advanced Materials Interfaces,"Volume 9, Issue 22",First published: 08 July 2022,Open Access,page_000.html
Mitigating Swelling of the Solid Electrolyte Interphase using an Inorganic Anion Switch for Low-temperature Lithium-ion Batteries,10.1002/ange.202300384,/doi/10.1002/ange.202300384,"Jia-Yan Liang, ,, Yanyan Zhang, ,, Sen Xin, ,, Shuang-Jie Tan, ,, Xin-Hai Meng, ,, Wen-Peng Wang, ,, Ji-Lei Shi, ,, Zhen-Bo Wang, ,, Fuyi Wang, ,, Li-Jun Wan, ,, Yu-Guo Guo, ,",Angewandte Chemie,"Volume 135, Issue 16",First published: 25 February 2023,Full Access,page_001.html
"Highly Safe Electrolyte for Fast-Charging, High-Temperature, High-Voltage Sodium Metal Batteries",10.1002/adfm.202423841,/doi/10.1002/adfm.202423841,"Daxiong Wu, ,, Huaping Wang, ,, Chunlei Zhu, ,, Chuan Wang, ,, Xiu Li, ,, Jianmin Ma, ,",Advanced Functional Materials,"Volume 35, Issue 22",First published: 23 January 2025,Full Access,page_001.html
Interfacial Decomposition Behaviour of Triethyl Phosphate-Based Electrolytes for Lithium-Ion Batteries,10.1002/batt.202400342,/doi/10.1002/batt.202400342,"Florian Gebert, ,, Robin Lundström, ,, Wessel van Ekeren, ,, Andrew J. Naylor, ,",Batteries & Supercaps,"Volume 7, Issue 12",First published: 15 July 2024,Open Access,page_001.html
Constructing Solid Electrolyte Interphase for Aqueous Zinc Batteries,10.1002/anie.202309957,/doi/10.1002/anie.202309957,"Yating Li, ,, Zuhao Yu, ,, Jianhang Huang, ,, Yonggang Wang, ,, Yongyao Xia, ,",Angewandte Chemie International Edition,"Volume 62, Issue 47",First published: 19 August 2023,Full Access,page_001.html
Tailoring Multiple Interactions in Poly (Urethane-Urea)-Based Solid-State Polymer Electrolytes for Long-Term Cycling Lithium Metal Batteries,10.1002/aenm.202406176,/doi/10.1002/aenm.202406176,"Dongxu Hu, ,, Hongzhang Huang, ,, Chenyang Wang, ,, Qixian Hong, ,, Hailong Wang, ,, Shihai Tang, ,, Huajun Zhang, ,, Jingshuo Li, ,, Linyu Hu, ,, Liang Jiang, ,, Xiaowei Fu, ,, Jingxin Lei, ,, Zhimeng Liu, ,, Xin He, ,",Advanced Energy Materials,"Volume 15, Issue 26",First published: 10 March 2025,Full Access,page_001.html
Stable Solid Electrolyte Interphase In Situ Formed on Magnesium-Metal Anode by using a Perfluorinated Alkoxide-Based All-Magnesium Salt Electrolyte,10.1002/adma.202203783,/doi/10.1002/adma.202203783,"Jianhua Xiao, ,, Xinxin Zhang, ,, Haiyan Fan, ,, Yuxing Zhao, ,, Yi Su, ,, Haowen Liu, ,, Xuanzhang Li, ,, Yipeng Su, ,, Hua Yuan, ,, Ting Pan, ,, Qiyuan Lin, ,, Ludi Pan, ,, Yuegang Zhang, ,",Advanced Materials,"Volume 34, Issue 30",First published: 03 June 2022,Full Access,page_001.html
Selective Adsorption of Electrolyte Anions with Chitosan Skin Producing LiF-Enriched Solid Electrolyte Interphase for Si-Based Lithium-Ion Batteries,10.1002/adfm.202410693,/doi/10.1002/adfm.202410693,"Jiayang Sun, ,, Yuchen Li, ,, Linze Lv, ,, Longfei Wang, ,, Weixing Xiong, ,, Lei Huang, ,, Qunting Qu, ,, Yan Wang, ,, Ming Shen, ,, Honghe Zheng, ,",Advanced Functional Materials,"Volume 34, Issue 52",First published: 05 September 2024,Full Access,page_001.html
Cyclic Ether Derived Stable Solid Electrolyte Interphase on Bismuth Anodes for Ultrahigh-Rate Sodium-Ion Storage,10.1002/smll.202402915,/doi/10.1002/smll.202402915,"Xiaoshan Zhang, ,, Jinxin Lin, ,, Xueqing Qiu, ,, Zehua Lin, ,, Husam N. Alshareef, ,, Wenli Zhang, ,",Small,"Volume 20, Issue 42",First published: 07 June 2024,Full Access,page_001.html
Construction of Organic–Inorganic Solid Electrolyte Interphase by Gas-Liquid Plasma for High Performance Lithium Metal Anodes,10.1002/smll.202500300,/doi/10.1002/smll.202500300,"Jiahao Wang, ,, Ping Liu, ,, Zhong Qiu, ,, Tianqi Yang, ,, Feng Cao, ,, Jiayuan Xiang, ,, Xinqi Liang, ,, Shenghui Shen, ,, Yongqi Zhang, ,, Yang Xia, ,, Chen Wang, ,, Wangjun Wan, ,, Jun Zhang, ,, Hui Huang, ,, Ruyi Fang, ,, Xinping He, ,, Yongping Gan, ,, Xinyong Tao, ,, Xinhui Xia, ,, Wenkui Zhang, ,",Small,"Volume 21, Issue 27",First published: 19 May 2025,Full Access,page_001.html
Interrogating the Thermo-Electrochemical Instability and Safety in Lithium Metal Electrodes with Liquid Electrolytes,10.1002/aenm.202504145,/doi/10.1002/aenm.202504145,"Ranadip Saha, ,, Anuththara S. J. Alujjage, ,, Bairav S. Vishnugopi, ,, Avijit Karmakar, ,, Dhevathi Rajan Rajagopalan Kannan, ,, Deepti Tewari, ,, Frederick Gray, ,, Vinay Premnath, ,, Wan Si Tang, ,, Judith A. Jeevarajan, ,, Partha P. Mukherjee, ,",Advanced Energy Materials,"Volume 15, Issue 41",First published: 03 September 2025,Open Access,page_001.html
Highly Adaptable Electrode–Electrolyte Interphases Constructed by Dual-Additive-Optimized Electrolyte for 4.5 V Lithium Metal Batteries,10.1002/adfm.202501489,/doi/10.1002/adfm.202501489,"Yu Peng, ,, Jiawei Chen, ,, Gaopan Liu, ,, Yue Yin, ,, Xiaoli Fang, ,, Yonggang Wang, ,, Xiaoli Dong, ,, Yongyao Xia, ,",Advanced Functional Materials,"Volume 35, Issue 31",First published: 03 March 2025,Full Access,page_001.html
Electrolyte Engineering to Construct Robust Interphase with High Ionic Conductivity for Wide Temperature Range Lithium Metal Batteries,10.1002/ange.202414636,/doi/10.1002/ange.202414636,"Yanan Li, ,, Bo Wen, ,, Na Li, ,, Yuanjun Zhao, ,, Yuzhi Chen, ,, Xiangkai Yin, ,, Xinyu Da, ,, Yuxin Ouyang, ,, Xinyang Li, ,, Pengxiang Kong, ,, Shujiang Ding, ,, Kai Xi, ,, Guoxin Gao, ,",Angewandte Chemie,"Volume 137, Issue 2",First published: 14 November 2024,Full Access,page_001.html
Compatible Interfaces Constructed by Surficial Indiumization on Garnet Solid Electrolyte for Long-Cycling All-Solid-State Lithium Metal Battery,10.1002/smll.202411062,/doi/10.1002/smll.202411062,"Xiaoming Zhou, ,, Zejian Ouyang, ,, Jin Liu, ,, Fangyang Liu, ,, Zongliang Zhang, ,, Yanqing Lai, ,, Jie Li, ,, Liangxing Jiang, ,",Small,"Volume 21, Issue 9",First published: 05 February 2025,Full Access,page_001.html
Strategies for Mitigating Dissolution of Solid Electrolyte Interphases in Sodium-Ion Batteries,10.1002/anie.202013803,/doi/10.1002/anie.202013803,"Le Anh Ma, ,, Andrew J. Naylor, ,, Leif Nyholm, ,, Reza Younesi, ,",Angewandte Chemie International Edition,"Volume 60, Issue 9",First published: 10 November 2020,Open Access,page_001.html
Electrochemical Pretreatment of Solid-Electrolyte Interphase Formation for Enhanced Li4Ti5O12Anode Performance in a Molten Li−Ca Binary Salt Hydrate Electrolyte,10.1002/celc.202200061,/doi/10.1002/celc.202200061,"Shinji Kondou, ,, Yoshifumi Watanabe, ,, Kaoru Dokko, ,, Masayoshi Watanabe, ,, Kazuhide Ueno, ,",ChemElectroChem,"Volume 9, Issue 11",First published: 27 March 2022,Full Access,page_001.html
Strategies for Mitigating Dissolution of Solid Electrolyte Interphases in Sodium-Ion Batteries,10.1002/ange.202013803,/doi/10.1002/ange.202013803,"Le Anh Ma, ,, Andrew J. Naylor, ,, Leif Nyholm, ,, Reza Younesi, ,",Angewandte Chemie,"Volume 133, Issue 9",First published: 10 November 2020,Open Access,page_001.html
Acetonitrile-Based Local High-Concentration Electrolytes for Advanced Lithium Metal Batteries,10.1002/adma.202404271,/doi/10.1002/adma.202404271,"Menghao Li, ,, Yue Liu, ,, Xuming Yang, ,, Qing Zhang, ,, Yifeng Cheng, ,, Li Deng, ,, Qiwei Zhou, ,, Tao Cheng, ,, M. Danny Gu, ,",Advanced Materials,"Volume 36, Issue 36",First published: 27 July 2024,Full Access,page_001.html
Hydrated Eutectic Electrolyte Regulating Hydrogen-Bond Network toward Wide-Temperature Adaptability for Zinc-Metal Batteries,10.1002/adfm.202521963,/doi/10.1002/adfm.202521963,"Xue Chen, ,, Shijia Li, ,, Kai Wang, ,, Huiling Zhao, ,, Ying Bai, ,",Advanced Functional Materials,Early View,First published: 14 October 2025,Full Access,page_001.html
Three Design Strategies for Improving the Thermal Stability of Lithium-Ion Batteries,10.1002/celc.202400157,/doi/10.1002/celc.202400157,"Kazuhiko Mukai, ,",ChemElectroChem,"Volume 11, Issue 15",First published: 03 July 2024,Open Access,page_001.html
A “Concentrated Ionogel-in-Ceramic” Silanization Composite Electrolyte with Superior Bulk Conductivity and Low Interfacial Resistance for Quasi-Solid-State Li Metal Batteries,10.1002/eem2.12736,/doi/10.1002/eem2.12736,"Wangshu Hou, ,, Zongyuan Chen, ,, Shengxian Wang, ,, Fengkun Wei, ,, Yanfang Zhai, ,, Ning Hu, ,, Shufeng Song, ,",Energy & Environmental Materials,"Volume 7, Issue 5",First published: 17 April 2024,Open Access,page_002.html
Electrochemically and Thermally Stable Inorganics–Rich Solid Electrolyte Interphase for Robust Lithium Metal Batteries,10.1002/adma.202307370,/doi/10.1002/adma.202307370,"Xin-Bing Cheng, ,, Shi-Jie Yang, ,, Zaichun Liu, ,, Jia-Xin Guo, ,, Feng-Ni Jiang, ,, Feng Jiang, ,, Xiaosong Xiong, ,, Wen-Bo Tang, ,, Hong Yuan, ,, Jia-Qi Huang, ,, Yuping Wu, ,, Qiang Zhang, ,",Advanced Materials,"Volume 36, Issue 1",First published: 08 September 2023,Full Access,page_002.html
Endogenous Symbiotic Li3N/Cellulose Skin to Extend the Cycle Life of Lithium Anode,10.1002/ange.202017281,/doi/10.1002/ange.202017281,"Yang Luo, ,, Tianyu Li, ,, Hongzhang Zhang, ,, Wei Liu, ,, Xiaoben Zhang, ,, Jingwang Yan, ,, Huamin Zhang, ,, Xianfeng Li, ,",Angewandte Chemie,"Volume 133, Issue 21",First published: 10 March 2021,Full Access,page_002.html
Fluorinated Surface Engineering Towards High-Rate and Durable Potassium-Ion Battery,10.1002/anie.202404332,/doi/10.1002/anie.202404332,"Xixue Zhang, ,, Feng Wu, ,, Difan Fang, ,, Renjie Chen, ,, Li Li, ,",Angewandte Chemie International Edition,"Volume 63, Issue 28",First published: 03 May 2024,Full Access,page_002.html
Manipulating the Composition and Structure of Solid Electrolyte Interphase at Graphite Anode by Adjusting the Formation Condition,10.1002/ente.201900273,/doi/10.1002/ente.201900273,"Taohe Zhu, ,, Qiyang Hu, ,, Guochun Yan, ,, Jiexi Wang, ,, Zhixing Wang, ,, Huajun Guo, ,, Xinhai Li, ,, Wenjie Peng, ,",Energy Technology,"Volume 7, Issue 9",First published: 13 May 2019,Full Access,page_002.html
Front Cover: Electrochemical Pretreatment of Solid-Electrolyte Interphase Formation for Enhanced Li4Ti5O12Anode Performance in a Molten Li−Ca Binary Salt Hydrate Electrolyte (ChemElectroChem 11/2022),10.1002/celc.202200411,/doi/10.1002/celc.202200411,"Shinji Kondou, ,, Yoshifumi Watanabe, ,, Kaoru Dokko, ,, Masayoshi Watanabe, ,, Kazuhide Ueno, ,",ChemElectroChem,"Volume 9, Issue 11",First published: 03 May 2022,Free Access,page_002.html
Fluorine Rich Borate Salt Anion Based Electrolyte for High Voltage Sodium Metal Battery Development,10.1002/smll.202311157,/doi/10.1002/smll.202311157,"Harshita Lohani, ,, Dale T. Duncan, ,, Xueping Qin, ,, Pratima Kumari, ,, Mega Kar, ,, Abhinanda Sengupta, ,, Aakash Ahuja, ,, Arghya Bhowmik, ,, Sagar Mitra, ,",Small,"Volume 20, Issue 42",First published: 16 June 2024,Full Access,page_002.html
All-Climate and Ultrastable Dual-Ion Batteries with Long Life Achieved via Synergistic Enhancement of Cathode and Anode Interfaces,10.1002/adfm.202201038,/doi/10.1002/adfm.202201038,"Wen-Hao Li, ,, Yue-Ming Li, ,, Xin-Fang Liu, ,, Zhen-Yi Gu, ,, Hao-Jie Liang, ,, Xin-Xin Zhao, ,, Jin-Zhi Guo, ,, Xing-Long Wu, ,",Advanced Functional Materials,"Volume 32, Issue 21",First published: 14 February 2022,Full Access,page_002.html
Cyano-Functionalized Hybrid Electrode-Electrolyte Interphases Enabled by Cyano-Substituted Tetrafluorobenzene Derivatives Additives for High-Voltage Lithium Metal Batteries,10.1002/adfm.202421329,/doi/10.1002/adfm.202421329,"Xin Li, ,, Yu Bai, ,, Jiaxin Jing, ,, Tao Ren, ,, Zhenhua Wang, ,, Jianmin Ma, ,, Kening Sun, ,",Advanced Functional Materials,"Volume 35, Issue 28",First published: 17 February 2025,Full Access,page_002.html
Localized Anion-Enriched Environment Via In Situ Electrostatic Confinement Effect for Stable Lithium Metal Batteries,10.1002/adfm.202516498,/doi/10.1002/adfm.202516498,"Pin Yi, ,, Qian Li, ,, Yu Chen, ,, Dedong Shan, ,, Ximei Lv, ,, Yang Zhang, ,, Dengji Xiao, ,, Yuhui Chen, ,, Yuping Wu, ,",Advanced Functional Materials,Early View,First published: 18 August 2025,Full Access,page_002.html
Interfacial Catalysis Engineering of Solid Electrolyte Interphase Toward High-Performance Batteries,10.1002/smll.202509725,/doi/10.1002/smll.202509725,"Chongyang Hao, ,, Xiaomin Zhang, ,, Xin Zhang, ,, Xiaoyu Zhang, ,, Mingxia Gao, ,, Hongge Pan, ,, Wenping Sun, ,",Small,Early View,First published: 25 October 2025,Full Access,page_002.html
Stable Non-flammable Phosphate Electrolyte for Lithium Metal Batteries via Solvation Regulation by the Additive,10.1002/adfm.202300629,/doi/10.1002/adfm.202300629,"Gaoxue Jiang, ,, Jiandong Liu, ,, Zhongsheng Wang, ,, Jianmin Ma, ,",Advanced Functional Materials,"Volume 33, Issue 30",First published: 26 April 2023,Full Access,page_002.html
"Unveiling the Electrolyte and Solid Electrolyte Interphase in Sodium Ion Batteries: Mechanisms, Progress, and Perspectives",10.1002/adma.202510882,/doi/10.1002/adma.202510882,"Meng Li, ,, Chengzhi Sun, ,, Ruoqi Zhang, ,, Man Qi, ,, Zeen Wu, ,, Xin Zhang, ,, Yu Zhang, ,, Jiayin Yuan, ,, Naiqing Zhang, ,",Advanced Materials,Early View,First published: 10 October 2025,Open Access,page_002.html
2D Materials for Lithium/Sodium Metal Anodes,10.1002/aenm.201802833,/doi/10.1002/aenm.201802833,"Chanyuan Zhang, ,, Aoxuan Wang, ,, Jiahua Zhang, ,, Xuze Guan, ,, Wenjing Tang, ,, Jiayan Luo, ,",Advanced Energy Materials,"Volume 8, Issue 34",First published: 18 October 2018,Full Access,page_002.html
Carbonyl-Engineered Acrylate-Based Solid Polymer Electrolyte for High-Performance Lithium Metal Batteries,10.1002/aenm.202502815,/doi/10.1002/aenm.202502815,"Qibang Pan, ,, Shilin Zhang, ,, Xiaoyu Gui, ,, Jie Zhang, ,, Wenbo Liu, ,, Mingbao Huang, ,, Zhiyong Fu, ,, Kai Wan, ,, Zhenxing Liang, ,",Advanced Energy Materials,"Volume 15, Issue 39",First published: 11 August 2025,Full Access,page_002.html
Fluorinated Solid Electrolyte Interphase Derived From Fluorinated Polymer Electrolyte To Stabilize Li Metal,10.1002/cssc.202300038,/doi/10.1002/cssc.202300038,"Jialong Fu, ,, Zhuo Li, ,, Xiaoyan Zhou, ,, Zhiyong Li, ,, Xin Guo, ,",ChemSusChem,"Volume 16, Issue 14",First published: 28 March 2023,Full Access,page_002.html
Lithicone-Protected Lithium Metal Anodes for Lithium Metal Batteries with Nickel-Rich Cathode Materials,10.1002/sstr.202400174,/doi/10.1002/sstr.202400174,"Ridwan A. Ahmed, ,, Kevin V. Carballo, ,, Krishna P. Koirala, ,, Qian Zhao, ,, Peiyuan Gao, ,, Ju-Myung Kim, ,, Cassidy S. Anderson, ,, Xiangbo Meng, ,, Chongmin Wang, ,, Ji-Guang Zhang, ,, Wu Xu, ,",Small Structures,"Volume 5, Issue 11",First published: 17 July 2024,Open Access,page_002.html
Neutron Reflectometry Study of Solid Electrolyte Interphase Formation in Highly Concentrated Electrolytes,10.1002/sstr.202300119,/doi/10.1002/sstr.202300119,"Josef Rizell, ,, Anton Zubayer, ,, Matthew Sadd, ,, Filippa Lundin, ,, Nataliia Mozhzhukhina, ,, Fredrik Eriksson, ,, Jens Birch, ,, Alexei Vorobiev, ,, Shizhao Xiong, ,, Aleksandar Matic, ,",Small Structures,"Volume 4, Issue 11",First published: 16 July 2023,Open Access,page_002.html
Tuning the Nucleophilicity of Anion in Lithium Salt to Enable an Anion-Rich Solvation Sheath for Stable Lithium Metal Batteries,10.1002/adfm.202416800,/doi/10.1002/adfm.202416800,"Pan Zhou, ,, Yu Ou, ,, Qingqing Feng, ,, Yingchun Xia, ,, Haiyu Zhou, ,, Wen-hui Hou, ,, Xuan Song, ,, Yang Lu, ,, Shuaishuai Yan, ,, Weili Zhang, ,, Yun He, ,, Kai Liu, ,",Advanced Functional Materials,"Volume 35, Issue 10",First published: 25 October 2024,Full Access,page_003.html
Shielding Polysulfide Intermediates by an Organosulfur-Containing Solid Electrolyte Interphase on the Lithium Anode in Lithium–Sulfur Batteries,10.1002/adma.202003012,/doi/10.1002/adma.202003012,"Jun-Yu Wei, ,, Xue-Qiang Zhang, ,, Li-Peng Hou, ,, Peng Shi, ,, Bo-Quan Li, ,, Ye Xiao, ,, Chong Yan, ,, Hong Yuan, ,, Jia-Qi Huang, ,",Advanced Materials,"Volume 32, Issue 37",First published: 06 August 2020,Full Access,page_003.html
Promoting uniform lithium deposition with Janus gel polymer electrolytes enabling stable lithium metal batteries,10.1002/inf2.12551,/doi/10.1002/inf2.12551,"Lin Wang, ,, Shugang Xu, ,, Zihui Song, ,, Wanyuan Jiang, ,, Shouhai Zhang, ,, Xigao Jian, ,, Fangyuan Hu, ,",InfoMat,"Volume 6, Issue 10",First published: 14 August 2024,Open Access,page_003.html
Mechanism understanding for stripping electrochemistry of Li metal anode,10.1002/sus2.37,/doi/10.1002/sus2.37,"Feng-Ni Jiang, ,, Shi-Jie Yang, ,, He Liu, ,, Xin-Bing Cheng, ,, Lei Liu, ,, Rong Xiang, ,, Qiang Zhang, ,, Stefan Kaskel, ,, Jia-Qi Huang, ,",SusMat,"Volume 1, Issue 4",First published: 31 December 2021,Open Access,page_003.html
Constructing Solid Electrolyte Interphase for Aqueous Zinc Batteries,10.1002/ange.202309957,/doi/10.1002/ange.202309957,"Yating Li, ,, Zuhao Yu, ,, Jianhang Huang, ,, Yonggang Wang, ,, Yongyao Xia, ,",Angewandte Chemie,"Volume 135, Issue 47",First published: 19 August 2023,Full Access,page_003.html
Lithium-Metal Anode Instability of the Superionic Halide Solid Electrolytes and the Implications for Solid-State Batteries,10.1002/ange.202015238,/doi/10.1002/ange.202015238,"Luise M. Riegger, ,, Roman Schlem, ,, Joachim Sann, ,, Wolfgang G. Zeier, ,, Jürgen Janek, ,",Angewandte Chemie,"Volume 133, Issue 12",First published: 14 December 2020,Open Access,page_003.html
