title,authors,year,doi,pdf_url,article_url,cited_by,abstract
Advancements and Challenges in Solid-State Battery Technology: An In-Depth Review of Solid Electrolytes and Anode Innovations,"Abniel Machín, Carmen Morant, Francisco Márquez",2024,https://doi.org/10.3390/batteries10010029,https://www.mdpi.com/2313-0105/10/1/29/pdf?version=1705483343,https://www.mdpi.com/2313-0105/10/1/29,94,"The primary goal of this review is to provide a comprehensive overview of the state-of-the-art in solid-state batteries (SSBs), with a focus on recent advancements in solid electrolytes and anodes. The paper begins with a background on the evolution from liquid electrolyte lithium-ion batteries to advanced SSBs, highlighting their enhanced safety and energy density. It addresses the increasing demand for efficient, safe energy storage in applications like electric vehicles and portable electronics. A major part of the paper analyzes solid electrolytes, key to SSB technology. It classifies solid electrolytes as polymer-based, oxide-based, and sulfide-based, discussing their distinct properties and application suitability. The review also covers advancements in anode materials for SSBs, exploring materials like lithium metal, silicon, and intermetallic compounds, focusing on their capacity, durability, and compatibility with solid electrolytes. It addresses challenges in integrating these anode materials, like the interface stability and lithium dendrite growth. This review includes a discussion on the latest analytical techniques, experimental studies, and computational models to understand and improve the anode–solid electrolyte interface. These are crucial for tackling interfacial resistance and ensuring SSBs’ long-term stability and efficiency. Concluding, the paper suggests future research and development directions, highlighting SSBs’ potential in revolutionizing energy storage technologies. This review serves as a vital resource for academics, researchers, and industry professionals in advanced battery technology development. It offers a detailed overview of materials and technologies shaping SSBs’ future, providing insights into current challenges and potential solutions in this rapidly evolving field. Full article"
Recycling of Valuable Metals from the Priority Lithium Extraction Residue Obtained through Hydrogen Reduction of Spent Lithium Batteries,"Yong Guo, Fupeng Liu, Feixiong Chen, Zaoming Chen, Hong Zeng, Tao Zhang, Changquan Shen",2024,https://doi.org/10.3390/batteries10010028,https://www.mdpi.com/2313-0105/10/1/28/pdf?version=1704986813,https://www.mdpi.com/2313-0105/10/1/28,9,"The selective separation of lithium from spent ternary positive materials is achieved through hydrogen reduction followed by water leaching. Almost 98% of the Li is transformed into soluble LiOH⋅H 2 O, while the Ni, Co and Mn species are all transformed into insoluble metals or their oxides, so the recovery of Ni, Co and Mn at this stage is challenging. The traditional acid leaching process has drawbacks such as high oxidant consumption, the low recovery of valuable metals and high production costs. Thus, sulfation roasting followed by water leaching was studied in this project. The leaching levels of Ni, Co, Mn and Al reached 87.13%, 99.87%, 96.21% and 94.95%, respectively, with 1.4 times the theoretical amount of sulfuric acid used at 180 °C for 120 min. To avoid the adverse effects of Mn and Al on the quality of the Ni and Co sulfate products, Mn 2+ was first separated and precipitated via the KMnO 4 oxidation–precipitation method, and >98% of the Mn was removed and precipitated within 30 min with a K p /K t (ratio of actual usage to theoretical usage of KMnO 4 ) of 1.0 at pH = 2.0 and 25 °C. After removal of the Mn, the solvent extraction method was adopted by using P204 as an extractant to separate Al. More than 98% of the Al was extracted in 30 min with 20% ( v / v ) P204 + 10% ( v / v ) TBP with an A/O ratio of 1:1 at 30 °C. This optimized process for extracting lithium residues improved the hydrogen reduction process of waste lithium batteries and will enable industrialization of the developed processes. Full article"
An Overview of the Sustainable Recycling Processes Used for Lithium-Ion Batteries,"Daniele Marchese, Chiara Giosuè, Antunes Staffolani, Massimo Conti, Simone Orcioni, Francesca Soavi, Matteo Cavalletti, Pierluigi Stipa",2024,https://doi.org/10.3390/batteries10010027,https://www.mdpi.com/2313-0105/10/1/27/pdf?version=1704961615,https://www.mdpi.com/2313-0105/10/1/27,18,"Lithium-ion batteries (LIBs) can play a crucial role in the decarbonization process that is being tackled worldwide; millions of electric vehicles are already provided with or are directly powered by LIBs, and a large number of them will flood the markets within the next 8–10 years. Proper disposal strategies are required, and sustainable and environmental impacts need to be considered. Despite still finding little applicability in the industrial field, recycling could become one of the most sustainable options to handle the end of life of LIBs. This review reports on the most recent advances in sustainable processing for spent LIB recycling that is needed to improve the LIB value chain, with a special focus on green leaching technologies for Co-based cathodes. Specifically, we provide the main state of the art for sustainable LIB recycling processes, focusing on the pretreatment of spent LIBs; we report on Life Cycle Assessment (LCA) studies on the usage of acids, including mineral as well as organic ones; and summarize the recent innovation for the green recovery of valuable metals from spent LIBs, including electrochemical methods. The advantage of using green leaching agents, such as organic acids, which represent a valuable option towards more sustainable recycling processes, is also discussed. Organic acids can, indeed, reduce the economic, chemical, and environmental impacts of LIBs since post-treatments are avoided. Furthermore, existing challenges are identified herein, and suggestions for improving the effectiveness of recycling are defined. Full article"
A Health Assessment Method for Lithium-Ion Batteries Based on Evidence Reasoning Rules with Dynamic Reference Values,"Zijiang Yang, Xiaofeng Zhao, Hongquan Zhang",2024,https://doi.org/10.3390/batteries10010026,https://www.mdpi.com/2313-0105/10/1/26/pdf?version=1704878287,https://www.mdpi.com/2313-0105/10/1/26,7,"The health assessment of lithium-ion batteries holds great research significance in various areas such as battery management systems, battery usage and maintenance, and battery economic evaluation. However, because environmental perturbations are not taken into account during the assessment, the accuracy and reliability of the assessment are limited. Thus, a health assessment model for lithium-ion batteries based on evidence reasoning rules with dynamic reference value (ER-DRV) is proposed in this paper. Firstly, considering that the data are subject to changes, dynamic reference values, real-time weights, and real-time reliability were utilized in the model to ensure the effectiveness and accuracy of the assessment. Moreover, an enhanced optimization method based on the whale optimization algorithm (WOA) was developed to improve the accuracy of the assessment model. In addition, the robustness of the ER-DRV model was studied with perturbation analysis methods. Finally, the proposed method was validated on two open lithium-ion battery datasets. The experimental results show that the health assessment method proposed in this article not only has higher accuracy and transparent reasoning process but also has strong robustness and good generalization ability. Full article"
Facile Fabrication of Porous MoSe2/Carbon Microspheres via the Aerosol Process as Anode Materials in Potassium-Ion Batteries,"Du Yeol Jo, Seung-Keun Park",2024,https://doi.org/10.3390/batteries10010025,https://www.mdpi.com/2313-0105/10/1/25/pdf?version=1704802256,https://www.mdpi.com/2313-0105/10/1/25,7,"Recently, potassium-ion batteries (KIBs) have attracted significant interest due to a number of factors, including the growing demand for energy and limited lithium resources. However, their practical use is hampered by poor cycling stability due to the large size of K + . Therefore, it is critical to develop a structural design that effectively suppresses large volume changes. This study presents a simple method of using a salt template to fabricate porous microspheres (p-MoSe 2 @C MS) of MoSe 2 and a carbon matrix as anode materials in KIBs. These microspheres have a distinct porous design, with uniformly distributed MoSe 2 nanocrystals embedded in the carbon matrix to prevent MoSe 2 overgrowth due to material diffusion during heat treatment. The manufacturing process combined one-step spray drying with recyclable NaCl as a hard template. Through a two-step thermal process under an inert atmosphere, the initial dextrin, NaCl, and Mo salt microspheres were converted into a p-MoSe 2 @N MS composite. The carbon structure derived from the dextrin maintained the shape of the microspheres when NaCl was removed, ensuring no overgrowth of MoSe 2 . This well-designed porous structure improves the interaction with the electrolyte, facilitating the transport of ions and electrons and reducing the K + diffusion distances. In addition, the porous carbon structure accommodates large volume changes during cycling and maintains its structural strength. As a result, p-MoSe 2 @C MS composite exhibits superior electrochemical properties, with remarkable capacity, long-term cycling stability (193 mA h g −1 after 500 cycles at 2.0 A g −1 ), and rate capability. Full article"
An Industrial Perspective and Intellectual Property Landscape on Solid-State Battery Technology with a Focus on Solid-State Electrolyte Chemistries,"Zouina Karkar, Mohamed S. E. Houache, Chae-Ho Yim, Yaser Abu-Lebdeh",2024,https://doi.org/10.3390/batteries10010024,https://www.mdpi.com/2313-0105/10/1/24/pdf?version=1704792792,https://www.mdpi.com/2313-0105/10/1/24,19,"This review focuses on the promising technology of solid-state batteries (SSBs) that utilize lithium metal and solid electrolytes. SSBs offer significant advantages in terms of high energy density and enhanced safety. This review categorizes solid electrolytes into four classes: polymer, oxide, hybrid, and sulfide solid electrolytes. Each class has its own unique characteristics and benefits. By exploring these different classes, this review aims to shed light on the diversity of materials and their contributions to the advancement of SSB technology. In order to gain insights into the latest technological developments and identify potential avenues for accelerating the progress of SSBs, this review examines the intellectual property landscape related to solid electrolytes. Thus, this review focuses on the recent SSB technology patent filed by the main companies in this area, chosen based on their contribution and influence in the field of batteries. The analysis of the patent application was performed through the Espacenet database. The number of patents related to SSBs from Toyota, Samsung, and LG is very important; they represent more than 3400 patents, the equivalent of 2/3 of the world’s patent production in the field of SSBs. In addition to focusing on these three famous companies, we also focused on 15 other companies by analyzing a hundred patents. The objective of this review is to provide a comprehensive overview of the strategies employed by various companies in the field of solid-state battery technologies, bridging the gap between applied and academic research. Some of the technologies presented in this review have already been commercialized and, certainly, an acceleration in SSB industrialization will be seen in the years to come. Full article"
Voltage and Overpotential Prediction of Vanadium Redox Flow Batteries with Artificial Neural Networks,"Joseba Martínez-López, Koldo Portal-Porras, Unai Fernández-Gamiz, Eduardo Sánchez-Díez, Javier Olarte, Isak Jonsson",2024,https://doi.org/10.3390/batteries10010023,https://www.mdpi.com/2313-0105/10/1/23/pdf?version=1704788595,https://www.mdpi.com/2313-0105/10/1/23,10,"This article explores the novel application of a trained artificial neural network (ANN) in the prediction of vanadium redox flow battery behaviour and compares its performance with that of a two-dimensional numerical model. The aim is to evaluate the capability of two ANNs, one for predicting the cell potential and one for the overpotential under various operating conditions. The two-dimensional model, previously validated with experimental data, was used to generate data to train and test the ANNs. The results show that the first ANN precisely predicts the cell voltage under different states of charge and current density conditions in both the charge and discharge modes. The second ANN, which is responsible for the overpotential calculation, can accurately predict the overpotential across the cell domains, with the lowest confidence near high-gradient areas such as the electrode membrane and domain boundaries. Furthermore, the computational time is substantially reduced, making ANNs a suitable option for the fast understanding and optimisation of VRFBs. Full article"
Recent Advances in Electrospun Nanostructured Electrodes in Zinc-Ion Batteries,"Lilin Zhang, Cong Wei, Lin Gao, Meng-Fang Lin, Alice Lee-Sie Eh, Jingwei Chen, Shaohui Li",2024,https://doi.org/10.3390/batteries10010022,https://www.mdpi.com/2313-0105/10/1/22/pdf?version=1704701845,https://www.mdpi.com/2313-0105/10/1/22,12,"Zinc-ion batteries (ZIBs) are increasingly recognized as highly promising candidates for grid-scale energy storage systems due to their cost-effectiveness, environmental friendliness, and high security. Despite recent advancements in the research of cathode materials, Zn anodes, and electrolytes, several challenges persist and must be addressed, including cathode dissolution, generation of by-products, and zinc dendrite formation, which hinder the future application of ZIBs. In this review, we systematically summarize the recent developments in electrospinning technology within ZIBs. First, the principle technical parameters and subsequent thermal treatment of electrospinning technology are discussed, and then the synthetic preparation, morphologies, and electrochemical performance of electrospun nanostructured electrodes in ZIBs are comprehensively reviewed. Finally, some perspectives on research directions and optimization strategies for electrospinning technology in energy applications are outlined. Full article"
In Situ/Operando Techniques for Unraveling Mechanisms of Ionic Transport in Solid-State Lithium Indium Halide Electrolyte,"Farzaneh Bahmani, Collin Rodmyre, Karen Ly, Paul Mack, Alevtina White Smirnova",2024,https://doi.org/10.3390/batteries10010021,https://www.mdpi.com/2313-0105/10/1/21/pdf?version=1704422284,https://www.mdpi.com/2313-0105/10/1/21,4,"Over the past years, lithium-ion solid-state batteries have demonstrated significant advancements regarding such properties as safety, long-term endurance, and energy density. Solid-state electrolytes based on lithium halides offer new opportunities due to their unique features such as a broad electrochemical stability window, high lithium-ion conductivity, and elasticity at close to melting point temperatures that could enhance lithium-ion transport at interfaces. A comparative study of lithium indium halide (Li 3 InCl 6 ) electrolytes synthesized through a mechano-thermal method with varying optimization parameters revealed a significant effect of temperature and pressure on lithium-ion transport. An analysis of Electrochemical Impedance Spectroscopy (EIS) data within the temperature range of 25–100 °C revealed that the optimized Li 3 InCl 6 electrolyte reveals high ionic conductivity, reaching 1.0 mS cm −1 at room temperature. Herein, we present the utilization of in situ/operando X-ray Photoelectron Spectroscopy (XPS) and in situ X-ray powder diffraction (XRD) to investigate the temperature-dependent behavior of the Li 3 InCl 6 electrolyte. Confirmed by these methods, significant changes in the Li 3 InCl 6 ionic conductivity at 70 °C were observed due to phase transformation. The observed behavior provides critical information for practical applications of the Li 3 InCl 6 solid-state electrolyte in a broad temperature range, contributing to the enhancement of lithium-ion solid-state batteries through their improved morphology, chemical interactions, and structural integrity. Full article"
Lithium Metal under Static and Dynamic Mechanical Loading,"Ed Darnbrough, David E. J. Armstrong",2024,https://doi.org/10.3390/batteries10010020,https://www.mdpi.com/2313-0105/10/1/20/pdf?version=1704350126,https://www.mdpi.com/2313-0105/10/1/20,,"Macro-scale mechanical testing and finite element analysis of lithium metal in compression have been shown to suggest methods and parameters for producing thin lithium anodes. Consideration of engineering and geometrically corrected stress experiments shows that the increasing contact area dominates the stress increase observed during the compression, not strain hardening, of lithium. Under static loading, the lithium metal stress relaxes, which means there is a speed of deformation (engineering strainrate limit of 6.4 × 10 − 5 6.4 × 10 − 5 s − 1 − 1 ) where there is no increase in stress during compression. Constant displacement tests show that stress relaxation depends on the initial applied stress and the amount of athermal plastic work within the material. The finite element analysis shows that barrelling during compression and the requirement for high applied stresses to compress lithium with a small height-to-width ratio are friction and geometric effects, respectively. The outcomes of this work are discussed in relation to the diminishing returns of stack pressure, the difficulty in closing voids, and potential methods for designing and producing sub-micron lithium anodes. Full article"
A Novel Quick Temperature Prediction Algorithm for Battery Thermal Management Systems Based on a Flat Heat Pipe,"Weifeng Li, Yi Xie, Wei Li, Yueqi Wang, Dan Dan, Yuping Qian, Yangjun Zhang",2024,https://doi.org/10.3390/batteries10010019,https://www.mdpi.com/2313-0105/10/1/19/pdf?version=1704332531,https://www.mdpi.com/2313-0105/10/1/19,4,"Predicting the core temperature of a Li-ion battery is crucial for precise state estimation, but it is difficult to directly measure. Existing quick temperature-predicting approaches can hardly consider the thermal mass of complex structure that may cause time delays, particularly under high C-rate dynamic conditions. In this paper, we developed a quick temperature prediction algorithm based on a thermal convolution method (TCM) to calculate the core temperature of a flat heat pipe-based battery thermal management system (FHP-BTMS) under dynamic conditions. The model could predict the core temperature rapidly through convolution of the thermal response map which contains full physical information. Firstly, in order to obtain a high fidelity spatio-temporal temperature distribution, the thermal capacitance-resistance network (TCRN) of the FHP-BTMS is established and validated by constant and dynamic discharging experiments. Then, the response map of the core temperature motivated by various impulse heat sources and heat sinks is obtained. Specifically, the dynamic thermal characteristics of an FHP are discussed to correct the boundary conditions of the TCM. Afterwards, the temperature prediction performances of the TCM and a lumped model under different step operating conditions are compared. The TCM results show a 70–80% accuracy improvement and better dynamic adaptivity than the lumped model. Lastly, a vertical take-off and landing (VTOL) profile is employed. The temperature prediction accuracy results show that the TCM can maintain a relative error below 5% throughout the entire prediction period. Full article"
Enhancing Virtual Inertia Control in Microgrids: A Novel Frequency Response Model Based on Storage Systems,"Adrián Criollo, Luis I. Minchala-Avila, Dario Benavides, Paul Arévalo, Marcos Tostado-Véliz, Daniel Sánchez-Lozano, Francisco Jurado",2024,https://doi.org/10.3390/batteries10010018,https://www.mdpi.com/2313-0105/10/1/18/pdf?version=1704262313,https://www.mdpi.com/2313-0105/10/1/18,13,"The integration of renewable resources in isolated systems can produce instability in the electrical grid due to its intermintency. In today’s microgrids, which lack synchronous generation, physical inertia is substituted for inertia emulation. To date, the most effective approach remains the frequency derivative control technique. Nevertheless, within this method, the ability to provide virtual drooping is often disregarded in its design, potentially leading to inadequate development in systems featuring high renewable penetration and low damping. To address this issue, this paper introduces an innovative design and analysis of virtual inertia control to simultaneously mimic droop and inertia characteristics in microgrids. The dynamic frequency response without and with renewable energy sources penetration is comparatively analyzed by simulation. The proposed virtual inertia control employs a derivative technique to measure the rate of change of frequency slope during inertia emulation. Sensitivity mapping is conducted to scrutinize its impact on dynamic frequency response. Finally, the physical battery storage system of the University of Cuenca microgrid is used as a case study under operating conditions. Full article"
